Year,Industrial Production (Indexed to 1900)
1860,15.9
1861,15.5
1862,13.9
1863,14
1864,14.2
1865,14.5
1866,18
1867,18.3
1868,17.9
1869,20.4
1870,20.6
1871,23
1872,23
1873,22
1874,23.9
1875,24.7
1876,25.2
1877,25.9
1878,30.9
1879,32.3
1880,32.7
1881,36.6
1882,36.4
1883,38.9
1884,36.8
1885,40
1886,41.1
1887,45.5
1888,43.9
1889,48.3
1890,52.2
1891,55
1892,57.3
1893,64.9
1894,64.6
1895,71.9
1896,73.5
1897,78.6
1898,85.8
1899,95.5
1900,100
1901,103.3
1902,104
1903,106.2
1904,109.3
1905,98.4
1906,111.6
1907,118
1908,120.2
1909,124.5
1910,138.1
1911,144.5
1912,149.1
1913,157.2
1916,110.04
1921,31.44
1922,
1923,
1924,
1925,
1926,
1927,
1928,212.2200002
1929,254.6640002
1930,310.6900802
1931,366.6142947
1932,421.6064389
1933,443.5299737
1934,528.6877286
1935,648.699843
1936,834.876698
1937,928.3828882
1938,1040.717218
1939,1219.720579
1940,1347.79124
1941,1399.007307
1942,1274.495657
1943,1497.532397
1944,1695.206673
1945,1430.754432
1946,1120.28072
1947,1336.494899
1948,1659.926665
1949,1970.332951
1950,2362.429208
1951,2726.243307
1952,3023.403827
1953,3362.025056
1954,3795.726288
1955,4239.826263
1956,4646.849585
1957,5065.066047
1958,5525.987058
1959,6133.845634
1960,6673.62405
1961,7214.187598
1962,7863.464482
1963,8500.405105
1964,9010.429411
1965,9659.180328
1966,10470.55148
1967,11507.13607
1968,12439.21409
1969,13297.51987
1970,14361.32146
1971,15452.78189
1972,16441.75993
1973,17642.0084
1974,19018.08506
1975,20387.38718
1976,21386.36915
1977,22541.23309
1978,23555.58858
1979,24262.25623
1980,24990.12392
1981,25714.83751
1982,26409.13813
1983,27412.68538
1984,28454.36742
1985,29421.81591
1986,30745.79763
1987,31821.90055
1988,33031.13277
1989,33493.56863
1990,33461.07986
1993,33461.07986
1994,26051.51521
1995,25455.57236
1996,24347.03553
1997,24867.75581
1998,22450.27728
1999,23012.95961
2000,25008.78188
2001,25801.10784
2002,26620.71396
2003,29122.1026
2004,31383.45064
2005,33138.31454
2006,35315.34279
2007,37760.22369
2008,37940.79042
2009,33899.6951
2010,36297.62854
2011,38164.69418
2012,39410.60779
2013,40158.1563
2014,41136.83163
2015,43361.42003
2016,44094.52295
2017,45849.63628
2018,47453.07349
2019,49031.23135
2020,47890.04613
2021,50490.21412